phase,epoch,step,elapsed_s,loss,mae_mirror,mse_mirror,mae,sam,psnr,ssim
train,2,51588,1770.7,0.089261,,,,,,
train,2,51688,1773.5,0.099380,,,,,,
train,2,51788,1776.4,0.085083,,,,,,
train,2,51888,1779.2,0.094695,,,,,,
train,2,51988,1782.1,0.088701,,,,,,
train,2,52088,1785.0,0.089898,,,,,,
train,2,52188,1787.8,0.094881,,,,,,
train,2,52288,1790.7,0.092790,,,,,,
train,2,52388,1793.5,0.092684,,,,,,
train,2,52488,1796.4,0.088631,,,,,,
train,2,52588,1799.3,0.092755,,,,,,
train,2,52688,1802.1,0.090782,,,,,,
train,2,52788,1805.0,0.089923,,,,,,
train,2,52888,1807.8,0.086597,,,,,,
train,2,52988,1810.7,0.097615,,,,,,
train,2,53088,1813.5,0.098256,,,,,,
train,2,53188,1816.4,0.092944,,,,,,
train,2,53288,1819.3,0.089428,,,,,,
train,2,53388,1822.1,0.090131,,,,,,
train,2,53488,1825.0,0.088979,,,,,,
train,2,53588,1827.8,0.092813,,,,,,
train,2,53688,1830.7,0.094303,,,,,,
train,2,53788,1833.5,0.105230,,,,,,
train,2,53888,1836.4,0.090545,,,,,,
train,2,53988,1839.3,0.090719,,,,,,
train,2,54088,1842.1,0.094188,,,,,,
train,2,54188,1845.0,0.095301,,,,,,
train,2,54288,1847.8,0.093692,,,,,,
train,2,54388,1850.7,nan,,,,,,
train,2,54488,1853.6,0.089440,,,,,,
train,2,54588,1856.4,0.092222,,,,,,
train,2,54688,1859.3,0.090683,,,,,,
train,2,54788,1862.1,0.087502,,,,,,
train,2,54888,1865.0,0.087877,,,,,,
train,2,54988,1867.8,0.093825,,,,,,
train,2,55088,1870.7,0.094141,,,,,,
train,2,55188,1873.6,0.087813,,,,,,
train,2,55288,1876.4,0.091231,,,,,,
train,2,55388,1879.3,0.092909,,,,,,
train,2,55488,1882.1,0.089682,,,,,,
train,2,55588,1885.0,0.092763,,,,,,
train,2,55688,1887.8,0.087108,,,,,,
train,2,55788,1890.7,0.090696,,,,,,
train,2,55888,1893.6,0.092987,,,,,,
train,2,55988,1896.4,0.096729,,,,,,
train,2,56088,1899.3,0.087123,,,,,,
train,2,56188,1902.1,0.092091,,,,,,
train,2,56288,1905.0,0.092096,,,,,,
train,2,56388,1907.9,0.093202,,,,,,
train,2,56488,1910.7,0.089495,,,,,,
train,2,56588,1913.6,0.086231,,,,,,
train,2,56688,1916.4,0.087192,,,,,,
train,2,56788,1919.3,0.089711,,,,,,
train,2,56888,1922.2,0.094097,,,,,,
train,2,56988,1925.0,0.092562,,,,,,
train,2,57088,1927.9,0.093604,,,,,,
train,2,57188,1930.7,0.090833,,,,,,
train,2,57288,1933.6,0.097456,,,,,,
train,2,57388,1936.4,0.089464,,,,,,
train,2,57488,1939.3,0.089484,,,,,,
train,2,57588,1942.2,0.087160,,,,,,
train,2,57688,1945.0,0.084834,,,,,,
train,2,57788,1947.9,0.091328,,,,,,
train,2,57888,1950.7,0.097010,,,,,,
train,2,57988,1953.6,0.088536,,,,,,
train,2,58088,1956.4,0.093322,,,,,,
train,2,58188,1959.3,0.092340,,,,,,
train,2,58288,1962.1,0.093031,,,,,,
train,2,58388,1965.0,0.088398,,,,,,
train,2,58488,1967.8,0.093780,,,,,,
train,2,58588,1970.7,0.087678,,,,,,
train,2,58688,1973.5,0.089087,,,,,,
train,2,58788,1976.4,0.092134,,,,,,
