phase,epoch,step,elapsed_s,loss,mae,mse
train,1,36844,1128.1,0.096678,,
train,1,36944,1130.9,0.095407,,
train,1,37044,1133.7,0.095650,,
train,1,37144,1136.6,0.089241,,
train,1,37244,1139.4,0.092375,,
train,1,37344,1142.2,0.096313,,
train,1,37444,1145.1,0.084440,,
train,1,37544,1147.9,0.106733,,
train,1,37644,1150.8,0.099236,,
train,1,37744,1153.6,0.102000,,
train,1,37844,1156.4,0.099620,,
train,1,37944,1159.3,0.093665,,
train,1,38044,1162.1,0.098842,,
train,1,38144,1165.0,0.098511,,
train,1,38244,1167.8,0.102147,,
train,1,38344,1170.6,0.100494,,
train,1,38444,1173.5,0.095144,,
train,1,38544,1176.3,0.097124,,
train,1,38644,1179.2,0.097265,,
train,1,38744,1182.0,0.104727,,
train,1,38844,1184.9,0.092916,,
train,1,38944,1187.7,0.102589,,
train,1,39044,1190.5,0.104342,,
train,1,39144,1193.4,0.101147,,
train,1,39244,1196.2,0.095337,,
train,1,39344,1199.1,0.096499,,
train,1,39444,1201.9,0.096535,,
train,1,39544,1204.8,0.095124,,
train,1,39644,1207.6,0.099477,,
train,1,39744,1210.4,0.092967,,
train,1,39844,1213.3,0.093631,,
train,1,39944,1216.1,0.093521,,
train,1,40044,1219.0,0.096634,,
train,1,40144,1221.8,0.095085,,
train,1,40244,1224.7,0.098899,,
train,1,40344,1227.5,0.096036,,
train,1,40444,1230.3,0.098224,,
train,1,40544,1233.2,0.094449,,
train,1,40644,1236.0,0.103562,,
train,1,40744,1238.9,0.088931,,
train,1,40844,1241.7,0.099364,,
train,1,40944,1244.5,0.097020,,
train,1,41044,1247.4,0.095163,,
train,1,41144,1250.2,0.102235,,
train,1,41244,1253.1,0.086225,,
train,1,41344,1255.9,0.096845,,
train,1,41444,1258.8,0.099543,,
train,1,41544,1261.6,0.098962,,
train,1,41644,1264.4,0.098519,,
train,1,41744,1267.3,0.091910,,
train,1,41844,1270.1,0.098011,,
train,1,41944,1273.0,0.097768,,
train,1,42044,1275.8,0.099100,,
train,1,42144,1278.7,0.096580,,
train,1,42244,1281.5,0.093843,,
train,1,42344,1284.3,0.103801,,
train,1,42444,1287.2,0.090004,,
train,1,42544,1290.0,0.086686,,
train,1,42644,1292.9,0.092955,,
train,1,42744,1295.7,0.094195,,
train,1,42844,1298.5,0.094900,,
train,1,42944,1301.4,0.092130,,
train,1,43044,1304.2,0.097099,,
train,1,43144,1307.1,0.096656,,
train,1,43244,1309.9,0.095082,,
train,1,43344,1312.7,0.095355,,
train,1,43444,1315.6,0.086726,,
train,1,43544,1318.4,0.091017,,
train,1,43644,1321.3,0.096085,,
train,1,43744,1324.1,0.091705,,
train,1,43844,1326.9,0.092513,,
train,1,43944,1329.8,0.095717,,
train,1,44044,1332.6,0.092635,,
train,1,44144,1335.5,0.095023,,
train,1,44244,1338.3,0.090286,,
train,1,44344,1341.2,0.100611,,
train,1,44444,1344.0,0.097226,,
train,1,44544,1346.8,0.093112,,
train,1,44644,1349.7,0.096785,,
train,1,44744,1352.5,0.098721,,
train,1,44844,1355.4,0.092549,,
train,1,44944,1358.2,0.098063,,
train,1,45044,1361.1,0.100589,,
train,1,45144,1363.9,0.094188,,
train,1,45244,1366.7,0.099812,,
train,1,45344,1369.6,0.092094,,
train,1,45444,1372.4,0.095829,,
train,1,45544,1375.3,0.092926,,
train,1,45644,1378.1,0.083228,,
train,1,45744,1381.0,0.094494,,
train,1,45844,1383.8,0.090440,,
train,1,45944,1386.6,nan,,
train,1,46044,1389.5,0.096673,,
train,1,46144,1392.3,0.095839,,
train,1,46244,1395.2,0.096668,,
train,1,46344,1398.0,0.094405,,
train,1,46444,1400.9,0.094911,,
train,1,46544,1403.7,0.093975,,
train,1,46644,1406.5,0.095604,,
train,1,46744,1409.4,0.091635,,
train,1,46844,1412.2,0.095498,,
train,1,46944,1415.1,0.098360,,
train,1,47044,1417.9,0.094451,,
train,1,47144,1420.8,0.094599,,
train,1,47244,1423.6,0.093356,,
train,1,47344,1426.5,0.090281,,
train,1,47444,1429.3,0.099232,,
train,1,47544,1432.1,0.094908,,
train,1,47644,1435.0,0.092807,,
train,1,47744,1437.8,0.088484,,
train,1,47844,1440.7,0.096103,,
train,1,47944,1443.5,0.091948,,
train,1,48044,1446.3,0.096669,,
train,1,48144,1449.2,0.097946,,
train,1,48244,1452.0,0.100930,,
train,1,48344,1454.9,0.104664,,
train,1,48444,1457.7,0.092498,,
train,1,48544,1460.5,0.095337,,
train,1,48644,1463.4,0.094776,,
train,1,48744,1466.2,0.091065,,
train,1,48844,1469.1,0.089364,,
val,1,,1547.9,0.083047,0.004828,0.000046
train,2,48988,1551.9,0.089241,,
train,2,49088,1554.8,0.097813,,
train,2,49188,1557.6,0.095683,,
train,2,49288,1560.4,0.088682,,
train,2,49388,1563.3,0.089913,,
train,2,49488,1566.1,0.091077,,
train,2,49588,1569.0,0.087339,,
train,2,49688,1571.8,0.095392,,
train,2,49788,1574.7,0.092297,,
train,2,49888,1577.5,0.093108,,
train,2,49988,1580.3,0.094175,,
train,2,50088,1583.2,0.092564,,
train,2,50188,1586.0,0.094360,,
train,2,50288,1588.9,0.093282,,
train,2,50388,1591.7,0.094614,,
train,2,50488,1594.5,0.090123,,
train,2,50588,1597.4,0.092294,,
train,2,50688,1600.2,0.092994,,
train,2,50788,1603.1,0.092940,,
train,2,50888,1605.9,0.092551,,
train,2,50988,1608.7,0.088504,,
train,2,51088,1611.6,0.097742,,
train,2,51188,1614.4,0.093534,,
train,2,51288,1617.2,0.092098,,
train,2,51388,1620.1,0.087727,,
train,2,51488,1622.9,0.088676,,
train,2,51588,1625.8,0.090464,,
train,2,51688,1628.6,0.091499,,
train,2,51788,1631.4,0.095032,,
train,2,51888,1634.3,0.092265,,
train,2,51988,1637.1,0.088778,,
train,2,52088,1639.9,0.092192,,
train,2,52188,1642.8,0.097725,,
train,2,52288,1645.6,0.098691,,
train,2,52388,1648.4,0.086751,,
train,2,52488,1651.3,0.090495,,
train,2,52588,1654.1,0.095379,,
train,2,52688,1657.0,0.087827,,
train,2,52788,1659.8,0.090890,,
train,2,52888,1662.6,0.086615,,
train,2,52988,1665.5,0.091819,,
train,2,53088,1668.3,0.093993,,
train,2,53188,1671.1,0.096997,,
train,2,53288,1674.0,0.097820,,
train,2,53388,1676.8,0.090430,,
train,2,53488,1679.7,0.092616,,
train,2,53588,1682.5,0.085574,,
train,2,53688,1685.3,0.092271,,
train,2,53788,1688.2,0.094733,,
train,2,53888,1691.0,0.093215,,
train,2,53988,1693.9,0.094355,,
train,2,54088,1696.7,0.095623,,
train,2,54188,1699.5,0.095717,,
train,2,54288,1702.4,0.099497,,
train,2,54388,1705.2,0.095542,,
train,2,54488,1708.0,0.087482,,
train,2,54588,1710.9,0.091792,,
train,2,54688,1713.7,0.088477,,
train,2,54788,1716.5,0.088928,,
train,2,54888,1719.4,0.093585,,
train,2,54988,1722.2,0.095251,,
train,2,55088,1725.1,0.092129,,
train,2,55188,1727.9,0.090277,,
train,2,55288,1730.7,0.092027,,
train,2,55388,1733.6,0.088488,,
train,2,55488,1736.4,0.093720,,
